,0,1,2,3,forecast,,,,,,,,,
143,8/26/2022,5.285714286,8/26/2022,4,,,,,,,,,,
144,8/27/2022,5.285714286,8/27/2022,0,,,,,,,,,,
145,8/28/2022,5.285714286,8/28/2022,0,,,,,,,,,,
146,8/29/2022,4.428571429,8/29/2022,3,,,,,,,,,,
147,8/30/2022,5,8/30/2022,6,,,,,,,,,,
148,8/31/2022,4.428571429,8/31/2022,2,,,,,,,,,,
149,9/1/2022,2.428571429,9/1/2022,2,,,,,,,,,,
150,9/2/2022,2.714285714,9/2/2022,6,,,,,,,,,,
151,9/3/2022,2.714285714,9/3/2022,0,,,,,,,,,,
152,9/4/2022,2.714285714,9/4/2022,0,,,,,,,,,,
153,9/5/2022,2.285714286,9/5/2022,0,,,,,,,,,,
154,9/6/2022,2.428571429,9/6/2022,7,,,,,,,,,,
155,9/7/2022,2.428571429,9/7/2022,2,,,,,,,,,,
156,9/8/2022,2.285714286,9/8/2022,1,,,,,,,,,,
157,9/9/2022,2.428571429,9/9/2022,7,,,,,,,,,,
158,9/10/2022,2.428571429,9/10/2022,0,,,,,,,,,,
159,9/11/2022,2.428571429,9/11/2022,0,,,,,,,,,,
160,9/12/2022,3.142857143,9/12/2022,5,,,,,,,,,,
161,9/13/2022,3,9/13/2022,6,,,,,,,,,,
162,9/14/2022,3,9/14/2022,2,,,,,,,,,,
163,9/15/2022,3.142857143,9/15/2022,2,,,,,,,,,,
164,9/16/2022,2.714285714,9/16/2022,4,,,,,,,,,,
165,9/17/2022,2.714285714,9/17/2022,0,,,,,,,,,,
166,9/18/2022,2.714285714,9/18/2022,0,,,,,,,,,,
167,9/19/2022,2.142857143,9/19/2022,1,,,,,,,,,,
168,9/20/2022,2.142857143,9/20/2022,6,,,,,,,,,,
169,9/21/2022,2,9/21/2022,1,,,,,,,,,,
170,9/22/2022,2.285714286,9/22/2022,4,,,,,,,,,,
171,9/23/2022,1.571428571,9/23/2022,-1,,,,,,,,,,
172,9/24/2022,1.571428571,9/24/2022,0,,,,,,,,,,
173,9/25/2022,1.571428571,9/25/2022,0,,,,,,,,,,
174,9/26/2022,3,9/26/2022,11,,,,,,,,,,
175,9/27/2022,2.714285714,9/27/2022,4,,,,,,,,,,
176,9/28/2022,3.142857143,9/28/2022,4,,,,,,,,,,
177,9/29/2022,3.142857143,9/29/2022,4,,,,,,,,,,
178,9/30/2022,3.857142857,9/30/2022,4,,,,,,,,,,
179,10/1/2022,3.857142857,10/1/2022,0,,,,,,,,,,
180,10/2/2022,3.857142857,10/2/2022,0,,,,,,,,,,
181,10/3/2022,3.571428571,10/3/2022,9,,,,,,,,,,
182,10/4/2022,3.714285714,10/4/2022,5,,,,,,,,,,
183,10/5/2022,3.428571429,10/5/2022,2,,,,,,,,,,
184,10/6/2022,4.428571429,10/6/2022,11,,,,,,,,,,
185,10/7/2022,4.142857143,10/7/2022,2,,,,,,,,,,
186,10/8/2022,4.142857143,10/8/2022,0,,,,,,,,,,
187,10/9/2022,4.142857143,10/9/2022,0,,,,,,,,,,
188,10/10/2022,2.857142857,10/10/2022,0,,,,,,,,,,
189,10/11/2022,3.428571429,10/11/2022,9,,,,,,,,,,
190,10/12/2022,3.142857143,10/12/2022,0,,,,,,,,,,
191,10/13/2022,2.285714286,10/13/2022,5,,,,,,,,,,
192,10/14/2022,2.428571429,10/14/2022,3,,,,,,,,,,
193,10/15/2022,2.428571429,10/15/2022,0,,,,,,,,,,
194,10/16/2022,2.428571429,10/16/2022,0,,,,,,,,,,
195,10/17/2022,3.857142857,10/17/2022,10,,,,,,,,,,
196,10/18/2022,3.571428571,10/18/2022,7,,,,,,,,,,
197,10/19/2022,3.714285714,10/19/2022,1,,,,,,,,,,
198,10/20/2022,3.285714286,10/20/2022,2,,,,,,,,,,
199,10/21/2022,4.428571429,10/21/2022,11,,,,,,,,,,
200,10/22/2022,4.428571429,10/22/2022,0,,,,,,,,,,
201,10/23/2022,4.428571429,10/23/2022,0,,,,,,,,,,
202,10/24/2022,4,10/24/2022,7,,,,,,,,,,
203,10/25/2022,3.714285714,10/25/2022,5,,,,,,,,,,
204,10/26/2022,4.571428571,10/26/2022,7,,,,,,,,,,
205,10/27/2022,6,10/27/2022,12,,,,,,,,,,
206,10/28/2022,4.571428571,10/28/2022,1,,,,,,,,,,
207,10/29/2022,4.571428571,10/29/2022,0,,,,,,,,,,
208,10/30/2022,4.571428571,10/30/2022,0,,,,,,,,,,
209,10/31/2022,4.714285714,10/31/2022,8,,,,,,,,,,
210,11/1/2022,4.857142857,11/1/2022,6,,,,,,,,,,
211,11/2/2022,5,11/2/2022,8,,,,,,,,,,
212,11/3/2022,4.857142857,11/3/2022,11,,,,,,,,,,
213,11/4/2022,5.571428571,11/4/2022,6,,,,,,,,,,
214,11/5/2022,5.571428571,11/5/2022,0,,,,,,,,,,
215,11/6/2022,5.571428571,11/6/2022,0,,,,,,,,,,
216,11/7/2022,6.428571429,11/7/2022,14,,,,,,,,,,
217,11/8/2022,7.142857143,11/8/2022,11,,,,,,,,,,
218,11/9/2022,7,11/9/2022,7,,,,,,,,,,
219,11/10/2022,6,11/10/2022,4,,,,,,,,,,
220,11/11/2022,5.142857143,11/11/2022,0,,,,,,,,,,
221,11/12/2022,5.142857143,11/12/2022,0,,,,,,,,,,
222,11/13/2022,5.142857143,11/13/2022,0,,,,,,,,,,
223,11/14/2022,3.428571429,11/14/2022,2,,,,,,,,,,
224,11/15/2022,4.285714286,11/15/2022,17,,,,,,,,,,
225,11/16/2022,4.285714286,11/16/2022,7,,,,,,,,,,
226,11/17/2022,4.285714286,11/17/2022,4,,,,,,,,,,
227,11/18/2022,5.571428571,11/18/2022,9,,,,,,,,,,
228,11/19/2022,5.571428571,11/19/2022,0,,,,,,,,,,
